Title,Rating,Year,Genre,Director,Actors,Images
Cinema Paradiso,8.5,1988,Drama,Giuseppe Tornatore,"['Giuseppe Tornatore', 'Giuseppe Tornatore', 'Vanna Paoli']","https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Modern Times,8.5,1936,Comedy,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin', 'Hank Mann', 'Stanley Blystone', 'Al Ernest Garcia', 'Richard Alexander', 'Cecil Reynolds', 'Mira McKinney', 'Murdock MacQuarrie', 'Wilfred Lucas', 'Edward LeSaint', 'Fred Malatesta', 'Sammy Stein', 'Juana Sutton', 'Ted Oliver', 'Norman Ainsley', 'Walter Bacon', 'Bobby Barber', 'Heinie Conklin', 'Gloria DeHaven', 'Gloria Delson', 'Pat Flaherty', 'Frank Hagney', 'Chuck Hamilton', 'Pat Harmon', 'Lloyd Ingraham', 'Walter James', 'Edward Kimball', 'Jack Low', 'Buddy Messinger', 'Bruce Mitchell', 'Frank Moran', 'James C. Morton', 'Dorothy Mueller', 'Louis Natheaux', 'J.C. Nugent', 'Russ Powell', 'John Rand', 'Wyn Ritchie Evans', 'Harry Wilson']","https://m.media-amazon.com/images/M/MV5BM2VlMjY3N2UtN2ZjNC00MDg4LWI3ZGQtZmE4NjZkZjkwZmYzXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX190_CR0,0,190,281_.jpg"
Rear Window,8.5,1954,Mystery,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy', 'Sara Berner', 'Frank Cady', 'Jesslyn Fax', 'Rand Harper', 'Irene Winston', 'Havis Davenport', 'Jerry Antes', 'Barbara Bailey', 'Benny Bartlett', 'Nick Borgani', 'Sue Casey', 'Iphigenie Castiglioni', 'James Cornell', 'Don Dunning', 'Marla English', 'Bess Flowers', 'Art Gilmore', 'Fred Graham', 'Kathryn Grant', 'Stephanie Griffin', 'Charles Harvey', 'Len Hendry', 'Alfred Hitchcock', 'Harry Landers', 'Alan Lee', 'Mike Mahoney', 'Jonni Paris', 'Eddie Parker', 'Robert Sherman', 'Dick Simmons', 'Ralph Smiley', 'Jack Stoney', 'Anthony Warde', 'Gig Young']","https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
Once Upon a Time in the West,8.5,1968,Western,Sergio Leone,"['Sergio Donati', 'Sergio Leone', 'Dario Argento', 'Bernardo Bertolucci', 'Sergio Leone']","https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
Alien,8.5,1979,Horror,Ridley Scott,"[""Dan O'Bannon"", ""Dan O'Bannon"", 'Ronald Shusett']","https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
City Lights,8.5,1931,Comedy,Charles Chaplin,"['Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Charles Chaplin', 'Johnny Aber', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander', 'Albert Austin', 'Harry Ayers', 'Eddie Baker', 'Henry Bergman', 'Edward Biby', 'Betty Blair', 'Buster Brodie', 'Jeanne Carpenter', 'Marie Cooper', 'Tom Dempsey', 'Peter Diego', 'James Donnelly', 'Ray Erlenborn', 'Ruth Garcia', 'Milton Gowman', 'Robert Graves', 'Charles Hammond', 'Jean Harlow', 'Ad Herman', 'Joseph Herrick', 'Austen Jewell', 'Willie Keeler', 'A.B. Lane', 'Eddie McAuliffe', 'Leila McIntyre', 'George Nardelli', 'Margaret Oliver', 'Robert Parrish', 'Mrs. Pope', 'John Rand', 'Granville Redmond', 'Wyn Ritchie Evans', 'W.C. Robinson', 'James Sheldon', 'Cy Slocum', 'Tony Stabenau', 'Mark Strong', 'Jack Sutherland', 'Joe Van Meter', 'Emmett Wagner', 'Tiny Ward', 'Stanhope Wheatcroft']","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Django Unchained,8.5,2012,Comedy,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson', 'Walton Goggins', 'Dennis Christopher', 'James Remar', 'David Steen', 'Dana Gourrier', 'Nichole Galicia', 'Laura Cayouette', 'Ato Essandoh', 'Sammi Rotibi', 'Clay Donahue Fontenot', 'Escalante Lundy', 'Miriam F. Glover', 'Don Johnson', 'Franco Nero', 'James Russo', 'Tom Wopat', 'Don Stroud', 'Russ Tamblyn', 'Amber Tamblyn', 'Bruce Dern', 'M.C. Gainey', 'Cooper Huckabee', 'Doc Duhame', 'Jonah Hill', 'Lee Horsley', 'Zoë Bell', 'Michael Bowen', 'Robert Carradine', 'Jake Garber', 'Ted Neeley', 'James Parks', 'Tom Savini', 'Michael Parks', 'John Jarratt', 'Quentin Tarantino', 'Amari Cheatom', 'Keith Jefferson', 'Marcus Henderson', 'Chuuch', 'Kinetic', 'Louise Stratten', 'Kim Robillard', 'Shana Stein', 'Shannon Hazlett', 'Jack Lucarelli', 'Victoria Thomas', 'Grace Collins', 'Sharon Pierre-Louis', 'Christopher Berry', 'Kim Collins', 'Dane Rhodes', 'JD Evermore', 'Rex Linn', 'Michael Bacall', 'Ronan Hice', 'Ned Bellamy', 'Dave Coennen', 'Danièle Watts', 'Jon Eyez', 'Omar J. Dorsey', 'Evan Parke', 'Craig Stark', 'Brian Brown', 'Ritchie Montgomery', 'Nicholas Dashnaw', 'Jarrod Bunch', 'Edrick Browne', 'Kerry Sims', 'Jamal Duff', 'Todd Allen', 'Lewis Smith', 'Keniaryn Mitchell', 'Jakel Marshall', 'Carl Singleton', 'Ashley Toman', 'John McConnell', 'Dudley Fuqua', 'Augustine Alvarez', 'Mark Amos', ""Monica Rene'e Anderson"", 'Carl Bailey', 'Seth Bailey', 'David G. Baker', 'Leianna Seals Bell', 'John R. Bennett II', 'Marsha Stephanie Blake', 'Valencia Christina', 'Edward J. Clare', 'Ross P. Cook', 'Jordon Michael Corbin', 'Mike DeMille', 'Santana Draper', 'Kimberley Drummond', 'Gregory Allen Gabroy', 'Gary Grubbs', 'Justin Dwayne Hall', 'Gene Kevin Hames Jr.', 'Ryan Happy', 'Bill Heintz', 'Jacky Ido', 'Jacquelyn Twodat Jackson', 'Tenaj L. Jackson', 'Kasey James', 'Jackie Jenkins Jr.', 'Marvin Jones III', 'Ashlee Nicole Jordan', 'Spencer Kayden', 'Tai Kendrick', 'Richie J. Ladner', 'Catherine Lambert', 'Skipper Landry', 'Elton LeBlanc', 'Kesha Bullard Lewis', 'Sandra Linz', 'Cindy Mah', 'Arnold Montey', 'Chuck Murphy', 'Ceociea Naomi', 'Brianna Oppenheimer', 'Johnny Otto', 'Kel Owens', 'Belinda Owino', 'Matthew Parrott', 'Erin Pickett', 'Timothy Pickles', 'Tom Proctor', 'Aleeah Rogers', 'Michael Shanto', 'Abraham Sidibeh', 'Alfred Smith III', 'Kay Smith', 'Samantha Smith', 'Fatimah Taliah', 'Tristan Tierce', 'LaTeace Towns-Cuellar', 'Mark Ulano', 'Misty Upham', 'Glen Warner', 'Rashia Whitlock', 'Travis Wilkerson', 'Tadasay Young', 'Ronnie Zappa']","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Apocalypse Now,8.4,1979,Drama,Francis Ford Coppola,"['John Milius', 'Francis Ford Coppola', 'Michael Herr', 'Joseph Conrad']","https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg"
Memento,8.4,2000,Mystery,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Russ Fega', 'Jorja Fox', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Thomas Lennon', 'Callum Keith Rennie', 'Kimberly Campbell', 'Marianne Muellerleile', 'Larry Holden', 'Doshia Darmane', 'Stephanie Searson', 'Buzz Visconti']","https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
12th Fail,9.0,2023,Biography,Vidhu Vinod Chopra,"['Vidhu Vinod Chopra', 'Jaskunwar Kohli', 'Anurag Pathak', 'Aayush Saxena']","https://m.media-amazon.com/images/M/MV5BZWYwNmIyMzctZWJlZS00ZWVkLWEzNDMtZDU4Njc0MzdmZTNhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR18,0,190,281_.jpg"
WALL·E,8.4,2008,Animation,Andrew Stanton,"['Andrew Stanton', 'Pete Docter', 'Andrew Stanton', 'Jim Reardon']","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Action,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey', 'John Rhys-Davies', 'Denholm Elliott', 'Alfred Molina', 'Wolf Kahler', 'Anthony Higgins', 'Vic Tablian', 'Don Fellows', 'William Hootkins', 'Bill Reimbold', 'Fred Sorenson', 'Patrick Durkin', 'Matthew Scurfield', 'Malcolm Weaver', 'Sonny Caldinez', 'Anthony Chinn', 'Pat Roach', 'Christopher Frederick', 'Tutte Lemkow', 'Ishaq Bux', 'Kiran Shah', 'Souad Messaoudi', 'Terry Richards', 'Steve Hanson', 'Frank Marshall', 'Martin Kreidt', 'George Harris', 'Eddie Tagoe', 'John Rees', 'Tony Vogel', 'Ted Grossman', 'Vic Armstrong', 'Alan Austen', 'Roy Beck', 'Darrell Brook', 'Russell Brook', 'Julie Brown', 'Trevor Butterfield', 'Patrick Cadell', 'Darin Chambers', 'Pola Churchill', 'Gerry Crampton', 'Peter Diamond', 'Harry Fielder', 'Fred Gambia', 'Nick Gillard', 'Romo Gorrara', 'Martin Grace', 'Reg Harding', 'Barrie Holland', 'Billy Horrigan', 'Terry Leonard', 'Rick Lester', 'Sergio Mioni', 'Dennis Muren', 'Robert Nevin', 'Bob Papenbrook', 'Chris Parsons', 'Glenn Randall Jr.', 'Peter Ross-Murray', 'Michael Sheard', 'Barry Summerford', 'Rocky Taylor', 'Chuck Waters', 'Frank Welker', 'Bill Weston', 'Paul Weston', 'Sheb Wooley']","https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg"
The Lives of Others,8.4,2006,Drama,Florian Henckel von Donnersmarck,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup', 'Bastian Trost', 'Marie Gruber', 'Volker Zack', 'Werner Daehn', 'Martin Brambach', 'Hubertus Hartmann', 'Thomas Arnold', 'Hinnerk Schönemann', 'Paul Faßnacht', 'Ludwig Blochberger', 'Paul Maximilian Schüller', 'Susanna Kraus', 'Gabi Fleming', 'Michael Gerber', 'Fabian von Klitzing', 'Harald Polzin', 'Sheri Hagen', 'Gitta Schweighöfer', 'Elja-Dusa Kedves', 'Hildegard Schroedter', 'Inga Birkenfeld', 'Philipp Kewenig', 'Jens Wassermann', 'Ernst-Ludwig Petrowsky', 'Manfred Ludwig Sextett', 'Kai Ivo Baulitz', 'Charlene Beck', 'Ralf Ehrlich', 'Anabelle D. Munro', 'Klaus Münster']","https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
Sunset Blvd.,8.4,1950,Drama,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum', 'Larry J. Blake', 'Charles Dayton', 'Cecil B. DeMille', 'Hedda Hopper', 'Buster Keaton', 'Anna Q. Nilsson', 'H.B. Warner', 'Ray Evans', 'Jay Livingston', 'Fred Aldrich', 'Joel Allen', 'Gertrude Astor', 'Anne Bauchens', 'Edward Biby', 'Danny Borzage', 'Ken Christy', 'Ruth Clifford', 'John Cortay', 'Archie R. Dalzell', 'Doris Dawson', 'Eddie Dew', 'Peter Drynan', 'Julia Faye', 'Al Ferguson', 'Gerry Ganzer', 'Rudy Germane', 'Kenneth Gibson', 'Joe Gray', 'Sanford E. Greenwald', 'Creighton Hale', 'Chuck Hamilton', 'James Hawley', 'Len Hendry', 'E. Mason Hopper', 'Stan Johnson', 'Tiny Jones', 'Howard Joslin', 'Arthur Lane', 'Perc Launders', 'Alan Marston', 'William Meader', 'Gertrude Messinger', 'Harold Miller', ""John 'Skins' Miller"", 'Lee Miller', 'Ralph Montgomery', 'Bert Moorhouse', 'Jay Morley', 'Bernice Mosk', 'Howard Negley', 'Ottola Nesmith', 'Eva Novak', ""Frank O'Connor"", ""Robert Emmett O'Connor"", 'Jack Perrin', 'Virginia L. Randolph', 'Bill Sheehan', 'Sidney Skolsky', 'Emmett Smith', 'Roy Thompson', 'Archie Twitchell', 'Yvette Vickers', 'Edward Wahrman', 'Jack Warden', 'Henry Wilcoxon']","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Paths of Glory,8.4,1957,Drama,Stanley Kubrick,"['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson', 'Humphrey Cobb']","https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg"
Avengers: Infinity War,8.4,2018,Action,Anthony Russo,"['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Steve Englehart', 'Steve Gan', 'Bill Mantlo', 'Keith Giffen', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Englehart', 'Don Heck', 'Jim Starlin']","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Spider-Man: Into the Spider-Verse,8.4,2018,Animation,Bob Persichetti,"['Phil Lord', 'Rodney Rothman', 'Phil Lord']","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Witness for the Prosecution,8.4,1957,Crime,Billy Wilder,"['Agatha Christie', 'Billy Wilder', 'Harry Kurnitz', 'Lawrence B. Marcus']","https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
The Shining,8.4,1980,Drama,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers', 'Barry Nelson', 'Philip Stone', 'Joe Turkel', 'Anne Jackson', 'Tony Burton', 'Lia Beldam', 'Billie Gibson', 'Barry Dennen', 'David Baxt', 'Manning Redwood', 'Lisa Burns', 'Louise Burns', 'Robin Pappas', 'Alison Coleridge', 'Burnell Tucker', 'Jana Shelden', 'Kate Phelps', 'Norman Gay', 'Pauline Chamberlain', 'Ina Clare', 'Maxwell Craig', 'Paul Desbois', 'Lynda Fisher', 'Charlie Gray', 'Aidan Harrington', 'Alan Harris', 'George Holdcroft', 'Barrie Holland', 'Beverley Keys', 'Vivian Kubrick', 'Aileen Lewis', 'Bertha Lynn', 'Derek Lyons', 'Peter McNamara', 'Cathy Munroe', 'Stuart Myers', ""Eddie O'Dea"", ""Jennifer O'Neill"", 'Chris Parsons', 'Glenn Rinker', 'Bunny Seaman', 'Guy Standeven', 'Reg Thomason', 'Brian V. Towns']","https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,4,190,281_.jpg"
The Great Dictator,8.4,1940,Comedy,Charles Chaplin,"['Charles Chaplin', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell', 'Billy Gilbert', 'Grace Hayle', 'Carter DeHaven', 'Paulette Goddard', 'Maurice Moscovitch', 'Emma Dunn', 'Bernard Gorcey', 'Paul Weigel', 'Chester Conklin', 'Esther Michelson', 'Hank Mann', 'Florence Wright', 'Eddie Gribbon', 'Rudolph Anders', 'Eddie Dunn', 'Nita Pike', 'George Lynn', 'Wheeler Dryden', 'John Alban', 'Fred Aldrich', 'Richard Alexander', 'Sig Arno', 'William Arnold', 'Walter Bacon', 'Brandon Beach', 'Joe Bordeaux', 'Chet Brandenburg', 'Don Brodie', 'James Carlisle', 'Tom Coleman', 'Hans Conried', 'Gino Corrado', 'Oliver Cross', 'John Davidson', 'Max Davidson', 'Lew Davis', 'Francis Ernest Drake', 'Pat Flaherty', 'Bud Geary', 'Jack Gordon', 'Herschel Graham', 'Sam Harris', 'Eddie Hart', 'Leyland Hodgson', 'William Irving', 'Charles Irwin', 'Ethelreda Leopold', 'Clyde McLeod', 'Russell Meeker', 'Torben Meyer', 'Jules Michelson', 'Bert Moorhouse', 'George Nardelli', 'Nellie V. Nichols', 'Manuel París', 'Jack Perrin', 'Alexander Pollard', 'Lucien Prival', 'John Rice', 'Cyril Ring', 'Wyn Ritchie Evans', 'Henry Roquemore', 'Tiny Sandford', 'Francesca Santoro', 'Hans Schumm', 'Harry Semels', 'Count Stefenelli', 'Bert Stevens', 'Charles Sullivan', 'Carl Voss', 'Leonard Walker', 'Leo White', 'Harry Wilson']","https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Alien 2,8.4,1986,Action,James Cameron,"['James Cameron', 'David Giler', 'Walter Hill', ""Dan O'Bannon"", 'Ronald Shusett', 'James Cameron']","https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
Inglourious Basterds,8.4,2009,Adventure,Quentin Tarantino,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Eli Roth', 'Michael Fassbender', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido', 'B.J. Novak', 'Omar Doom', 'August Diehl', 'Denis Ménochet', 'Sylvester Groth', 'Martin Wuttke', 'Mike Myers', 'Julie Dreyfus', 'Richard Sammel', 'Alexander Fehling', 'Rod Taylor', 'Sönke Möhring', 'Samm Levine', 'Paul Rust', 'Michael Bacall', 'Arndt Schwering-Sohnrey', 'Petra Hartung', 'Volker Zack', 'Ken Duken', 'Christian Berkel', 'Anne-Sophie Franck', 'Léa Seydoux', 'Tina Rodriguez', 'Lena Friedrich', 'Ludger Pistor', 'Jana Pallaske', 'Wolfgang Lindner', 'Michael Kranz', 'Rainer Bock', 'André Penvern', 'Sebastian Hülk', 'Buddy Joe Hooker', 'Carlos Fidel', 'Christian Brückner', 'Hilmar Eichhorn', 'Patrick Elias', 'Eva Löbau', 'Salvadore Brandt', 'Jasper Linnewedel', 'Wilfried Hochholdinger', 'Olivier Girard', 'Michael Scheel', 'Leo Plank', 'Andreas Tietz', 'Bo Svenson', 'Enzo G. Castellari', 'Michael August', 'Bela B.', 'Noémi Besedes', 'Fred Aaron Blake', 'Alex Boden', 'Lisa Buckley', 'Luke Burnyeat', 'Franz Josef Danner', 'Ryan Falcon', 'Guido Föhrweißer', 'Jake Garber', 'Claudina Hoff ter Heide', 'Samuel L. Jackson', 'Harvey Keitel', 'Frederik Klaus', 'Brittany Krall', 'Arnold Montey', 'Andrew Napier', 'Greg Nicotero', 'Niko Novick', 'Aleksandrs Petukhovs', 'Brendan Potter', 'Nikki Rapp', 'Sabrina Rattey', 'Bea-Marie Rück', 'Daniela Schwerdt', 'Julia Smola', 'Quentin Tarantino', 'Vitus Wieser']","https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
The Dark Knight Rises,8.4,2012,Action,Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan', 'Christopher Nolan', 'David S. Goyer', 'Bob Kane']","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Comedy,Stanley Kubrick,"['Stanley Kubrick', 'Terry Southern', 'Peter George', 'Peter George']","https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg"
American Beauty,8.3,1999,Drama,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'Ara Celi', 'John Cho', 'Fort Atkinson', 'Sue Casey', 'Kent Faulcon', 'Brenda Wehle', 'Lisa Cloud', 'Alison Faulk', 'Krista Goodsitt', 'Lily Houtkin', 'Carolina Lancaster', 'Mona Leah', 'Chekesha Van Putten', 'Emily Zachary', 'Nancy Anderson', 'Reshma Gajjar', 'Stephanie Rizzo', 'Heather Joy Sher', 'Chelsea Hertford', 'Amber Smith', 'Joel McCrary', 'Marissa Jaret Winokur', 'Dennis Anderson', 'Matthew Kimbrough', 'Erin Cathryn Strubbe', 'Thomas J Armstrong', 'Bruce Cohen', 'Elaine Corral Kendall', 'David C. Fisher', 'James Hunter', 'Spencer Kayden', 'Brittany Krall', 'Tom Miller', 'Ronald Reagan']","https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
كوكو,8.4,2017,Animation,Lee Unkrich,"['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich', 'Adrian Molina', 'Adrian Molina', 'Matthew Aldrich']","https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY281_CR4,0,190,281_.jpg"
Oldeuboi,8.3,2003,Action,Park Chan-wook,"['Garon Tsuchiya', 'Nobuaki Minegishi', 'Park Chan-wook', 'Park Chan-wook', 'Joon-hyung Lim', 'Jo-yun Hwang']","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Amadeus,8.4,1984,Biography,Milos Forman,"['Peter Shaffer', 'Peter Shaffer', 'Zdenek Mahler']","https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
Toy Story,8.3,1995,Animation,John Lasseter,"['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft', 'Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']","https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
Das Boot,8.4,1981,Drama,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch', 'Martin Semmelrogge', 'Bernd Tauber', 'Erwin Leder', 'Martin May', 'Heinz Hoenig', 'Uwe Ochsenknecht', 'Claude-Oliver Rudolph', 'Jan Fedder', 'Ralf Richter', 'Joachim Bernhard', 'Oliver Stritzel', 'Konrad Becker', 'Lutz Schnell', 'Martin Hemme', 'Rita Cadillac', 'Otto Sander', 'Günter Lamprecht', 'Thomas Boxhammer', 'Roger Barth', 'Günther Franke', 'Christian Bendomir', 'Norbert Gronwald', 'Albert Kraml', 'Jean-Claude Hoffmann', 'Peter Pathenis', 'Arno Kral', 'Christian Seipolt', 'Helmut Neumeier', 'Ferdinand Schaal', 'Wilhelm Pietsch', 'Rolf Weber', 'Dirk Salomon', 'Lothar Zajicek', 'Gerhard Acktun', 'Sky du Mont', 'Ulrich Günther', 'Maryline Moulard', 'Edwige Pierre', 'Günter Spörrle']","https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
